client_id,epoch,batch_index,latency_seconds,payload_size_mb,edge_forward,edge_backward,server_forward,server_backward,inter_delay,grad_delay
d20756ae,7,25,0.6609,8.5966,0.1246,0.2042,0.0963,0.1871,0.0096,0.0390
a9daf54c,7,26,0.6504,8.5965,0.1238,0.1681,0.1125,0.1886,0.0279,0.0295
d20756ae,7,26,0.6206,8.5965,0.1422,0.1665,0.1023,0.1652,0.0122,0.0323
a9daf54c,7,27,0.6103,8.5968,0.1201,0.1497,0.0948,0.1717,0.0441,0.0299
d20756ae,7,27,0.6072,8.5966,0.1314,0.1786,0.0892,0.1649,0.0104,0.0328
a9daf54c,7,28,0.5844,8.5965,0.1162,0.1505,0.0919,0.1672,0.0315,0.0269
d20756ae,7,28,0.5663,8.5967,0.1245,0.1566,0.0891,0.1635,0.0085,0.0242
a9daf54c,8,29,0.6123,8.5963,0.1191,0.1680,0.0900,0.1603,0.0422,0.0326
d20756ae,8,29,0.6067,8.5967,0.1208,0.1780,0.0896,0.1677,0.0131,0.0375
a9daf54c,8,30,0.6524,8.5963,0.1181,0.1977,0.1009,0.1776,0.0204,0.0377
d20756ae,8,30,0.6431,8.5967,0.1366,0.1678,0.1058,0.1858,0.0129,0.0343
a9daf54c,8,31,0.5850,8.5974,0.1373,0.1585,0.0948,0.1604,0.0106,0.0233
d20756ae,8,31,0.5878,8.5966,0.1011,0.1700,0.0965,0.1775,0.0096,0.0331
a9daf54c,8,32,0.6406,8.5967,0.1188,0.1739,0.1017,0.1960,0.0155,0.0346
d20756ae,8,32,0.5735,8.5964,0.1311,0.1444,0.0975,0.1655,0.0111,0.0239
a9daf54c,9,33,0.5898,8.5967,0.1164,0.1806,0.0919,0.1644,0.0074,0.0291
